policy_name,rows,support,predicted_positive,precision,recall,false_positive_rows,score_auroc,score_average_precision
future_class_argmax,689388,365274,51101,0.6709457740553022,0.09386378444674409,16815,0.7207080913517933,0.7064501285071406
afib_vs_normal_ewma_k1_t0.100,689388,365274,202308,0.7388684579947407,0.40922430832744733,52829,0.7207080913517933,0.7064501285071406
