threshold,smoothing_method,smoothing_alpha,consecutive_k,positive_records,future_support,predicted_positive_windows,future_precision,future_recall,events,detected_events,event_recall,median_lead_time_sec,false_alert_windows,false_alert_episodes,patient_hours,false_alert_episodes_per_patient_hour,score_name,gate_passed
0.7,ewma,0.65,1,7,91,16,0.5625,0.0989010989010989,12,1,0.08333333333333333,240.0,6,6,11.574999999999998,0.5183585313174948,vt_vs_normal,False
0.8,ewma,0.65,1,7,91,1,1.0,0.01098901098901099,12,1,0.08333333333333333,-70.0,0,0,11.574999999999998,0.0,vt_vs_normal,False
0.02,ewma,0.65,2,7,91,806,0.0794044665012407,0.7032967032967034,12,8,0.6666666666666666,215.0,658,33,11.574999999999998,2.850971922246221,vt_vs_normal,False
0.03,ewma,0.65,2,7,91,725,0.08413793103448276,0.6703296703296703,12,6,0.5,210.0,588,33,11.574999999999998,2.850971922246221,vt_vs_normal,False
0.04,ewma,0.65,2,7,91,662,0.08610271903323263,0.6263736263736264,12,5,0.4166666666666667,240.0,530,31,11.574999999999998,2.6781857451403894,vt_vs_normal,False
0.05,ewma,0.65,2,7,91,613,0.07830342577487764,0.5274725274725275,12,5,0.4166666666666667,240.0,490,28,11.574999999999998,2.419006479481642,vt_vs_normal,False
0.06,ewma,0.65,2,7,91,574,0.07317073170731707,0.46153846153846156,12,5,0.4166666666666667,230.0,460,28,11.574999999999998,2.419006479481642,vt_vs_normal,False
0.08,ewma,0.65,2,7,91,498,0.0783132530120482,0.42857142857142855,12,5,0.4166666666666667,200.0,403,22,11.574999999999998,1.9006479481641472,vt_vs_normal,False
0.1,ewma,0.65,2,7,91,450,0.07555555555555556,0.37362637362637363,12,5,0.4166666666666667,200.0,368,22,11.574999999999998,1.9006479481641472,vt_vs_normal,False
0.12,ewma,0.65,2,7,91,406,0.0665024630541872,0.2967032967032967,12,5,0.4166666666666667,60.0,336,22,11.574999999999998,1.9006479481641472,vt_vs_normal,False
0.15,ewma,0.65,2,7,91,363,0.07162534435261708,0.2857142857142857,12,5,0.4166666666666667,60.0,303,17,11.574999999999998,1.4686825053995685,vt_vs_normal,False
